ship_to_region,avg_fill_rate
Nevada,1738.83
Indiana,511.30
Ohio,275.14
Rhode Island,249.21
Arkansas,235.96
Tennessee,189.38
New Jersey,174.40
Missouri,147.79
Georgia,140.60
New York,139.28
Mississippi,135.55
Florida,128.07
Maryland,125.86
Illinois,119.71
Texas,119.39
Arizona,116.04
California,112.93
Michigan,105.92
West Virginia,105.02
Puerto Rico,98.77
Oregon,97.70
Oklahoma,94.26
Kentucky,94.01
Iowa,93.25
Minnesota,82.01
Virginia,80.99
Massachusetts,76.18
North Dakota,75.60
Washington,74.90
North Carolina,72.39
Pennsylvania,71.67
Alabama,64.39
Wisconsin,62.84
South Carolina,61.12
Colorado,59.69
Louisiana,58.22
Utah,57.89
Maine,56.18
Alaska,45.74
South Dakota,42.68
Vermont,36.86
Hawaii,34.40
,0.00
