material_desc,avg_otif,total_orders
Kyloran,0.00,1
Cyltrix,0.00,1
Deloor,1.82,218
Ocralin,2.03,1540
Optrazol,2.44,491
Loxarin,2.51,68
Tyconex,2.52,81
Wornaxil,2.55,132
Iltrorin,2.56,798
Cenopril,2.65,2154
Ylondal,2.67,9
Uvirex,2.71,532
Grypalix,2.79,99
Jextorin,3.04,385
Minotex,3.20,90
Vorilex,3.27,121
Klorexin,3.75,16
Tredanor,3.80,41
Panirex,3.87,237
Bistolon,4.00,138
Zoridex,4.30,360
Vylotil,4.47,118
Elorax,4.58,1500
Rovazin,4.60,73
Dyzaren,4.64,453
Xoenyus,4.67,586
Cyptavin,4.77,770
Glynovin,4.82,1095
Teravix,4.93,112
Mydoril,5.27,446
Ranoxel,5.33,699
Tylorex,5.36,1425
Qepyrol,5.58,331
Cydorex,5.69,1317
Bacatax,5.82,307
Novarex,5.84,37
Holynex,6.00,2
Xiboren,6.02,646
Wynatrol,6.13,6970
Tylidex,6.14,1681
Yaxonil,6.38,312
Yutidon,6.63,123
Dylorin,6.67,36
Cotalex,6.69,897
Syradox,6.92,701
Qavaren,7.08,1220
Lyravex,7.57,1420
Alyndor,7.83,443
Qavoxel,7.86,1387
Cidarex,8.03,1209
Rytonex,8.07,293
Devarex,8.13,765
Xylidan,8.44,128
Approdil,8.53,1312
Dutravil,8.63,292
Xylarin,8.66,4050
Palirum,8.66,122
Wyroxin,8.80,2614
Brylaxin,9.02,500
Mastril,9.39,468
Mornalex,9.50,192
Nexadil,9.51,275
Travalon,9.52,300
Zavorin,9.55,103
Ulmiron,9.72,36
Nexorin,9.86,168
Cylatrol,10.01,2152
Foxyrel,10.11,55
Fynorel,10.11,38
Wydorin,10.30,538
Ixoral,10.67,18
Horalex,10.80,662
Modanil,10.97,209
Oxcarbazepine Tablets USP 600 mg 500,11.03,37
Zyroxen,11.11,54
Solivex,11.12,725
Sylavin,11.14,14
Velmoril,11.19,907
Qorixel,11.30,430
Ristolon,11.31,682
Rkusiex,11.42,250
Clinarix,11.56,137
Glyvalex,11.75,68
Foclarin,11.82,203
Syntorin,11.83,207
Kyxaax,11.86,1583
Botyrex,11.88,1225
Bravoxin,12.03,534
Obrylax,12.09,294
Jarvexil,12.18,67
Clevorin,12.23,944
Yundexil,12.29,1010
Ivorzen,12.33,93
Ortalin,12.73,231
Fivomex,13.22,1035
Deltrax,13.29,10014
Xeradel,13.38,2203
Daxirel,13.50,1416
Floryzin,13.56,959
Kernolix,13.93,584
Qylarin,13.95,258
Sarovol,14.05,1485
Jovitel,14.53,947
Finorax,14.84,1286
Relaxon,15.00,8
Nurexon,15.12,2841
Loprylin,15.35,1109
Rylaxin,15.73,241
Quytradil,16.29,137
Kylorex,16.45,1463
Byrexon,16.91,44
Kuronex,17.05,894
Ulidex,17.20,4143
Woseax,17.25,180
Jytralin,17.46,814
Jaxorin,17.90,126
Ynalex,18.18,1278
Ternodil,18.30,968
Zalvex,18.30,1551
Eltravin,18.72,3172
Klypaden,18.94,5641
Cyvanex,19.05,7147
Wiloran,19.46,74
Halixen,19.80,45
Molnirex,20.28,170
Ilmoxal,20.31,39
Virdolin,20.33,356
Lomaxen,20.50,1144
Diipuix,20.81,654
Fenquor,21.33,786
Volarin,22.04,98
Fusaryn,22.21,3534
Poriyen,23.07,899
Sernaval,23.24,147
Envalin,23.54,2798
Nalvexin,23.89,246
Orvizan,24.00,11
Vextolin,24.00,5
Kavoxel,24.00,14
Ultravin,24.00,1
Dorutel,24.00,18
Naduron,24.25,1103
Olydexil,24.95,3498
Sutavix,25.04,925
Monlura,25.50,80
Elnatrol,25.92,391
Westronil,26.40,1119
Torvixil,26.55,94
Qenoral,26.67,9
Myrdolex,26.72,137
Quazetel,27.27,22
Qystarin,27.33,637
Plenuron,27.77,325
Klytril,27.85,2808
Torival,28.14,58
Meropil,28.27,688
Arvalon,28.44,1102
Falginex,28.78,1844
Ulinaril,28.93,367
Vyvtenil,28.98,2476
Lyvoran,29.14,161
Vysporin,29.38,415
Ferylon,29.62,178
Rurkeax,30.17,218
Drovixin,30.35,2104
Eylorin,31.46,164
Mendolin,31.66,139
Suvigen,32.26,129
Vornadil,32.40,20
Cyndanil,34.00,3704
Dufelal,34.09,686
Osporin,34.84,170
Synopter,34.91,55
Drazolin,35.27,394
Zynthal,35.28,3135
Fomoryn,37.42,90
Nagixil,38.12,34
Hextorin,39.33,1506
Kotrexil,39.55,304
Urovex,42.23,797
Cavonex,44.34,806
Jovirex,44.38,159
Zymorix,45.76,4181
Lumorin,45.82,1857
Arclinex,47.52,1097
Zesavin,47.62,6488
Vytronil,47.73,133
Vistomex,48.00,1
Zohelex,48.77,1873
Hizonex,49.05,2264
Thruvan,49.05,55
Morpylin,50.67,567
Noprixal,51.24,200
Cihoex,51.35,68
Nyvolix,53.01,5836
Xepitor,53.91,2246
Hirvelan,54.56,4459
Helorix,54.65,83
Uditaus,54.79,531
Klymavar,58.85,646
Karuen,61.61,1820
Synopil,61.70,8812
Zygorin,63.58,1587
Unavor,63.69,296
Nylotrex,66.75,2866
Xelavix,68.72,16348
