material,prod_desc,net_stock
40886,Praxiven,-29046.0
40887,Jolumet,-12744.0
40292,Gryptal,-3384.0
40609,Xonarex,-2832.0
40225,Arvalon,-2412.0
40639,Jovirex,-1824.0
40605,Dendoril,-1596.0
40224,Ulinaril,-1548.0
40642,Vysporin,-1536.0
40707,Envalin,-1528.0
40039,Cavonex,-1152.0
40472,Pelynax,-1032.0
40873,Vytronil,-1020.0
40926,Mendolin,-720.0
40925,Suvigen,-672.0
40589,Woseax,-630.0
40927,Fomoryn,-624.0
40624,Eylorin,-528.0
40591,Molnirex,-438.0
40142,Glyvalex,-312.0
40648,Ortalin,-216.0
40151,Devarex,-144.0
40155,Zyroxen,-144.0
40644,Modanil,-144.0
40640,Clinarix,-132.0
40874,Vornadil,-108.0
40144,Wornaxil,-96.0
40641,Sernaval,-96.0
40854,Panirex,-81.0
40655,Lumorin,-35.0
40832,Wydorin,-24.0
40646,Deloor,-12.0
40035,Myvalon,0.0
41063,Glymeril,0.0
40612,Pylorim,0.0
41027,Vylorin,0.0
41130,Brylaxor,0.0
40524,Acrinox,0.0
40478,Jastrol,0.0
41162,Dytorel,0.0
40739,Adrylix,0.0
41123,Pyravid,0.0
40693,Iverlon,0.0
40527,Evaron,0.0
40923,Kiloxen,0.0
40875,Nexoryn,0.0
40806,Xorlan,0.0
40594,Dycaril,0.0
40808,Wyladex,0.0
40479,Savoril,0.0
40877,Xetonil,0.0
40740,Zentarix,0.0
40985,Abrydex,0.0
41128,Lyporin,0.0
40152,Dorutel,0.0
40211,Frovadin,0.0
41164,Brelavin,0.0
40708,Cyroxin,0.0
40709,Orvizan,0.0
40712,Quazetel,0.0
40915,Holynex,0.0
40916,Kyloran,0.0
40922,Vextolin,0.0
41126,Vistomex,0.0
45010,Relaxon,0.0
40480,Xynoril,0.0
40720,Ylorex,0.0
40688,Zytrex,0.0
41163,Axonil,0.0
41165,Fytravin,0.0
41125,Giraxil,0.0
41166,Havonex,0.0
41124,Jyvantel,0.0
40036,Koryxin,0.0
40033,Livarin,0.0
40501,Ovanyl,0.0
45012,Praxorin,0.0
40687,Trovanex,0.0
40567,Vexorin,0.0
40804,Ardolix,0.0
40803,Blynorin,0.0
40689,Fraloxin,0.0
40990,Glyvexil,0.0
40991,Horlixin,0.0
40569,Jydorin,0.0
41073,Konavale,0.0
40551,Lidorex,0.0
40610,Pynoril,0.0
40876,Rexodyn,0.0
40611,Syravin,0.0
40038,Tylorin,0.0
40878,Ulvirex,0.0
40715,Qenoral,0.0
40807,Quindal,0.0
40570,Xelaran,0.0
40972,Zycalex,0.0
41122,Havetra,0.0
40476,Tyralix,0.0
41167,Wytravin,0.0
40936,Yorvalex,0.0
40571,Synatrol,0.0
40977,Provaxil,0.0
40924,Zontril,0.0
45013,Gylatec,0.0
40971,Ytravin,0.0
40517,Sorvenil,0.0
40210,Dyvanil,0.0
40979,Rylvex,0.0
40209,Horvinex,0.0
40976,Gravotin,0.0
41154,Evalox,0.0
40568,Varsolin,0.0
40670,Ulontex,0.0
40914,Cyltrix,0.0
40975,Wyratex,0.0
40526,Xeronil,0.0
41127,Horvalex,0.0
40614,Fraxorin,0.0
40805,Raxolin,0.0
40691,Vyxorin,0.0
41129,Bonlavor,0.0
40464,Naptorin,0.0
40037,Iloprel,0.0
