prod_family,avg_doh
Ivermectin Tab,52175.50
Amitriptyline,21887.31
Potassium Chloride ER,1147.00
Guanfacine IR,1131.00
Diclofenac Sodium Tab,1062.00
Isosorbide DN,1041.33
Carbidopa and Levdopa Tab,573.89
Dicyclomine HCl Tab,473.57
Bisoprolol Fumarate,464.25
Cevimeline HCL,462.50
Aripiprazole Oral Solution,281.00
Tramadol,235.50
Primidone,223.25
Baclofeb Oral Solution,205.00
Glipizide,183.25
Metoprolol Tartrate,138.09
Dorzolamide Opthal Sol,138.00
Oxcarbazepine Suspension,121.00
Sildenafil Citrate,112.30
Loperamide Caps,100.33
Haloperidol Oral Solution,93.50
Mycophenolate Mofetil Cap,92.50
Mycophenolate Mofetil Tab,86.50
Pregabalin tab ER,83.33
Amantadine HCL,82.67
Diclofenac Potassium,75.67
Triamterene HCTZ,63.00
Metoprolol Tartrate (Uncoated),60.78
Nitroglycerine,53.75
Mycophenolae Sodium DR Tab,51.00
Labetalol,50.17
Nortriptyline HCL Oral Solution,46.00
Cyclobenzaprine HCl,43.86
Buspirone HCl,40.27
Gabapentin Oral Solution,39.00
Buprenorphine Sl,37.00
Acetazolamide,33.00
Lidocaine HCL Oral Solution,31.00
Clonazepam Tab,29.42
Potassium Chloride PFOS,29.00
Metolazone,26.67
Carvedilol,25.42
Amiodarone HCl,16.50
Lithium Oral Solution,16.00
Potassium Chloride Oral Solution,15.50
Baclofen,14.55
Midodrine,13.33
Desvenlaflaxine,12.22
Acyclovir Suspension,10.00
Bumetanide Tabs,9.00
Rabeprazole Sodium,8.50
Tranexamic Acid Tab,8.00
Tizanidine HCl,7.00
Oxybutynin Chloride ER,5.33
Dihydroergotamine Spray,4.50
Potassium Chloride Klorcon,4.17
Carbidopa and Levdopa ER Tab,1.20
Potassium Chloride PFOS (OF),0.00
Lamotrigine IR,0.00
Fluticasone Nasal Spray,0.00
Naloxone HCL  Nasal Spray,0.00
Nortriptyline HCl Cap,0.00
Clonazepam-ODT,0.00
Gabapentin Tab,0.00
Valsartan Oral Solution,0.00
Oxcarbazepine Tab WG,0.00
Venlafaxin HCl ER Cap,0.00
Dicyclomine HCL Cap,0.00
Ipratropium Bro. Nasal Spray,-8.00
Loratadine ODT (OTC),-22.00
