material,prod_desc,current_demand,month2_demand,month3_demand,month4_demand
40842,Synopil,301898.3333333333,301898.3333333333,307762.3333333333,307762.3333333333
40304,Xelavix,185240.8147288404,185240.8147288404,185240.8147288404,185240.8147288404
40309,Hudeod,136634.0,136634.0,136634.0,136634.0
40692,Zeranal,133908.5,133908.5,132482.5,132482.5
40592,Brevotan,115875.0,115875.0,115875.0,115875.0
40307,Ritomex,105195.27272727272,105195.27272727272,105195.27272727272,105195.27272727272
40886,Praxiven,98545.0,95909.5,134785.5,134785.5
40312,Jeralex,96802.33333333331,96802.33333333331,96802.33333333331,96802.33333333331
41065,Nikdoer,92900.3,82776.3,82776.3,82776.3
40830,Brysteril,86219.16666666666,86219.16666666666,101981.16666666666,101981.16666666666
