material,prod_desc,availablity,doh
40842,Synopil,-1475331.0,30.524149962183735
40304,Xelavix,-1157889.0,24.264037094521672
40309,Hudeod,-1079448.0,20.319393415987236
40307,Ritomex,-713208.0,25.878729427869207
40622,Quendral,-258645.0,14.25520914073932
40710,Cylorin,-256536.0,61.52099360459728
40618,Pultronex,-256208.0,14.070397367898572
40695,Isytron,-234936.0,10.656026383559132
40146,Yenotil,-176100.0,4.273497598500527
40140,Juvetra,-167921.0,9.442861161391292
40774,Xandorin,-153661.0,7.726463381576779
40742,Deltrax,-135541.0,26.08683449107533
40690,Qynarix,-131672.0,19.902683250270343
40335,Cyvanex,-131065.0,59.25685610092578
40293,Ulidex,-117240.0,19.74932378376319
40692,Zeranal,-116096.0,26.754985680520647
40686,Hizonex,-96007.0,54.9381513260006
40694,Isadryl,-89688.0,12.87821864294412
40497,Xylarin,-89076.0,3.010824783195561
40828,Xepitor,-85344.0,21.432454769040813
40669,Irvorin,-78720.0,32.499382356036
40217,Drovixin,-76350.0,31.74345425062651
40147,Klymavar,-69744.0,9.585798816568047
40969,Westronil,-36936.0,12.642029784886928
40472,Pelynax,-32508.0,-1.033435326842837
40649,Ynalex,-27696.0,1.5681759264068658
40604,Zentaril,-25968.0,27360.0
40970,Urovex,-21678.0,17.940031133763647
40308,Acrinor,-21456.0,142.140920312437
40224,Ulinaril,-19817.0,-28.36896762370189
40162,Jytralin,-18912.0,0.6704857810774013
40606,Oxaltex,-17472.0,66600.0
40609,Xonarex,-11376.0,-78.23204419889504
40600,Litranil,-11208.0,189720.0
40671,Horalex,-8184.0,21.7892221927263
40317,Qorixel,-7068.0,56.47849032464417
40605,Dendoril,-5592.0,-71.67664670658682
40706,Nalvexin,-5084.0,114.61552783466767
40475,Rivotal,-4665.0,6.7372608405754555
40603,Helorix,-2088.0,109.14893617021276
40613,Cihoex,-2040.0,471.635687732342
40607,Torival,-1944.0,37.455621301775146
