batch,blending,compression,delay_hours
41192HF1,2024-08-31 00:00:00,2024-12-02 00:00:00,2232.0000000000000000
40264HF1,2024-04-21 00:00:00,2024-06-26 00:00:00,1584.0000000000000000
40663HF1,2024-05-09 00:00:00,2024-07-09 00:00:00,1464.0000000000000000
40824HF1,2024-06-15 00:00:00,2024-08-07 00:00:00,1272.0000000000000000
40533HJ1,2024-04-14 00:00:00,2024-05-27 00:00:00,1032.0000000000000000
40454HF1,2024-04-21 00:00:00,2024-05-30 00:00:00,936.0000000000000000
40799HF1,2024-06-17 00:00:00,2024-07-25 00:00:00,912.0000000000000000
40532HJ2,2024-04-17 00:00:00,2024-05-24 00:00:00,888.0000000000000000
50275,2025-03-07 00:00:00,2025-04-11 00:00:00,840.0000000000000000
50387GA1,2025-03-04 00:00:00,2025-04-08 00:00:00,840.0000000000000000
