prod_family,batch_count
,276
Baclofen,180
Metoprolol Tartrate (Uncoated),153
Carvedilol,138
Tramadol,119
Clonazepam Tab,118
Buspirone HCl,115
Potassium Chloride ER,105
Carbidopa and Levdopa Tab,92
Metoprolol Tartrate,90
Cyclobenzaprine HCl,87
Desvenlaflaxine,67
Amitriptyline,56
Isosorbide DN,50
Midodrine,50
Amiodarone HCl,41
Oxybutynin Chloride ER,40
Nitroglycerine,38
Primidone,36
Labetalol,35
Metolazone,35
Sildenafil Citrate,34
Diclofenac Potassium,31
Diclofenac Sodium Tab,30
Loperamide Caps,28
Buprenorphine Sl,24
Glipizide,24
Amantadine HCL,23
Potassium Chloride Oral Solution,23
Potassium Chloride PFOS,20
Tranexamic Acid Tab,19
Ipratropium Bro. Nasal Spray,18
Guanfacine IR,17
Carbidopa and Levdopa ER Tab,17
Bumetanide Tabs,17
Acetazolamide,15
Triamterene HCTZ,13
Loratadine ODT (OTC),11
Haloperidol Oral Solution,10
Cevimeline HCL,9
Sapropterin-TUR,9
Dicyclomine HCl Tab,8
Tizanidine HCl,8
Bisoprolol Fumarate,8
Nortriptyline HCL Oral Solution,7
Ivermectin Tab,6
Naloxone HCL  Nasal Spray,6
Oxcarbazepine Suspension,5
Lidocaine HCL Oral Solution,5
Sapropterin-KOR,4
Aripiprazole Oral Solution,4
Lithium Oral Solution,4
Potassium Chloride Klorcon,4
Nicotine-Mint,3
Acyclovir Suspension,3
Rabeprazole Sodium,3
Pregabalin tab ER,2
Bounce-Mint,2
