batch,fg_code,prod_desc
230102H1,40575,Metoprolol Tart.TabUSP50 mg1000'STRU CTX
230368H1,40742,Tramadol HCl Tab USP 100mg 100
40224HJ1,40295,Amiodarone HCl Tab USP 200mg 500
40263HF1,40145,Oxybutynin Cl ER Tab USP 5mg 100
40264HF1,40145,Oxybutynin Cl ER Tab USP 5mg 100
40265HJ1,40602,Diclofenac Pot tab 50mg 500
40274HC1,40293,Amiodarone HCl Tab USP 400mg 30
40285HF1,40146,Oxybutynin Cl ER Tab USP 10mg 100
40288HF1,40615,Carvedilol Tab USP 3.125mg 100
40289HJ1,40616,Carvedilol Tab USP 3.125mg 500
40314SB1,40218,Potassium Chl Ora sol 20mEq 100
40344HF1,40652,Metoprolol Tar tab USP 25mg 100
40354,30410,Ble CG Pot Chl ER Tab USP 15mEq KlorCon
40371HF1,40564,Cyclobenzaprine HCl Tab USP 7.5mg 100
40374HJ1,40295,Amiodarone HCl Tab USP 200mg 500
40375HF1,40592,Baclofen Tab USP 10mg 100
40376HF1,40592,Baclofen Tab USP 10mg 100
40377HJ1,40595,Baclofen Tab USP 10mg 500
40378HK1,40726,Baclofen Tab USP 10mg 1000
40379HK1,40726,Baclofen Tab USP 10mg 1000
40405HF1,40896,Carbi + Levo tab USP 25/100mg 100 Tru
40405HF2,40491,Carbi + Levo tab USP 25/100mg 100
40406HH1,40163,Tizanidine HCl Cap 6mg 150
40407HH1,40161,Tizanidine HCl Cap 2mg 150
40408HC1,40692,Desvenlafaxine ER Tab 50 mg 30
40408HE1,40969,Desvenlafaxine ER Tab 50 mg 90
40409HC2,40692,Desvenlafaxine ER Tab 50 mg 30
40410HE1,40969,Desvenlafaxine ER Tab 50 mg 90
40419HC1,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40420HC2,40028,Sapropterin DiHCl Tab 100mg 30 DIP KOR
40421HC1,40026,Sapropterin DiHCl Tab 100mg 30 DIP TUR
40434HJ1,40315,Buspirone HCl Tab USP 7.5mg 500
40446HF1,40780,Tramadol HCl Tab USP 50mg 100 JAM CAN
40447HF1,40780,Tramadol HCl Tab USP 50mg 100 JAM CAN
40448HE1,40040,Rabeprazole Sod DR Tab 20mg 90
40449HE1,40040,Rabeprazole Sod DR Tab 20mg 90
40451HF1,40676,Labetalol HCl Tab USP 200mg 100
40452HF1,40742,Tramadol HCl Tab USP 100mg 100
40453HF1,40742,Tramadol HCl Tab USP 100mg 100
40454HF1,40742,Tramadol HCl Tab USP 100mg 100
40455HF1,40633,Oxcarbazepine Tab USP 300mg 100
40455HJ1,40634,Oxcarbazepine Tab USP 300mg 500
40456HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
40457HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
40458HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
40459HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
40460HF1,40304,Potassium Chl ER Tab USP 20mEq 100 AB3
40461HF1,40460,Triamterene & HCTZ Tab USP 37.5/25mg 100
40461HJ1,40834,Triamterene & HCTZ Tab USP 37.5/25mg 500
