dispatch_date,batches_dispatched
2025-05-12,1
2025-05-10,12
2025-05-09,7
2025-05-08,4
2025-05-07,3
2025-05-06,8
2025-05-05,2
2025-04-30,28
2025-04-29,1
2025-04-28,5
2025-04-26,3
2025-04-25,9
2025-04-24,9
2025-04-21,1
2025-04-18,9
2025-04-17,8
2025-04-16,21
2025-04-15,9
2025-04-14,2
2025-04-11,14
2025-04-10,10
2025-04-08,7
2025-04-07,9
2025-04-05,15
2025-04-04,1
2025-04-03,9
2025-03-31,8
2025-03-29,5
2025-03-28,8
2025-03-27,17
2025-03-26,16
2025-03-25,28
2025-03-22,10
2025-03-21,4
2025-03-20,6
2025-03-19,18
2025-03-18,10
2025-03-17,8
2025-03-15,1
2025-03-13,5
2025-03-12,6
2025-03-11,2
2025-03-08,17
2025-03-07,8
2025-03-06,8
2025-03-05,7
2025-03-01,5
2025-02-28,24
2025-02-27,1
2025-02-26,9
2025-02-25,5
2025-02-24,11
2025-02-22,1
2025-02-21,5
2025-02-20,1
2025-02-19,6
2025-02-17,15
2025-02-15,10
2025-02-14,11
2025-02-13,6
2025-02-11,4
2025-02-10,12
2025-02-08,21
2025-02-06,8
2025-02-05,7
2025-01-31,17
2025-01-30,7
2025-01-29,1
2025-01-28,8
2025-01-25,15
2025-01-24,16
2025-01-22,6
2025-01-21,17
2025-01-20,10
2025-01-17,3
2025-01-16,6
2025-01-15,13
2025-01-14,8
2025-01-13,8
2025-01-11,13
2025-01-10,7
2025-01-09,1
2025-01-08,5
2025-01-07,11
2025-01-06,5
2024-12-31,12
2024-12-28,25
2024-12-27,2
2024-12-25,19
2024-12-24,18
2024-12-23,7
2024-12-21,18
2024-12-20,3
2024-12-19,8
2024-12-18,9
2024-12-17,16
2024-12-13,12
2024-12-12,22
2024-12-11,13
2024-12-10,5
2024-12-09,1
2024-12-07,4
2024-12-06,6
2024-12-05,12
2024-12-04,3
2024-11-30,8
2024-11-29,11
2024-11-28,9
2024-11-26,8
2024-11-25,5
2024-11-23,10
2024-11-22,3
2024-11-21,10
2024-11-20,28
2024-11-19,5
2024-11-16,5
2024-11-15,6
2024-11-14,19
2024-11-13,11
2024-11-11,10
2024-11-08,16
2024-11-04,1
2024-10-30,27
2024-10-29,7
2024-10-26,11
2024-10-25,2
2024-10-24,14
2024-10-23,15
2024-10-22,1
2024-10-21,5
2024-10-18,21
2024-10-15,24
2024-10-14,5
2024-10-11,2
2024-10-10,11
2024-10-08,10
2024-10-07,4
2024-10-05,3
2024-10-04,11
2024-10-03,9
2024-10-01,2
2024-09-30,9
2024-09-28,6
2024-09-27,15
2024-09-25,7
2024-09-24,15
2024-09-23,3
2024-09-21,8
2024-09-19,4
2024-09-18,17
2024-09-17,11
2024-09-16,2
2024-09-14,18
2024-09-13,1
2024-09-12,10
2024-09-11,15
2024-09-10,9
2024-09-05,16
2024-08-31,11
2024-08-30,14
2024-08-29,8
2024-08-27,9
2024-08-26,13
2024-08-23,17
2024-08-22,20
2024-08-19,5
2024-08-16,13
2024-08-14,17
2024-08-10,9
2024-08-09,10
2024-08-07,8
2024-08-06,10
2024-08-03,7
2024-08-02,7
2024-08-01,9
2024-07-31,14
2024-07-30,10
2024-07-29,5
2024-07-27,3
2024-07-26,21
2024-07-25,5
2024-07-24,5
2024-07-23,25
2024-07-20,14
2024-07-19,2
2024-07-17,8
2024-07-16,7
2024-07-13,16
2024-07-12,10
2024-07-10,10
2024-07-06,2
2024-07-05,9
2024-07-04,2
2024-07-03,6
2024-06-29,7
2024-06-28,11
2024-06-27,6
2024-06-26,4
2024-06-25,8
2024-06-22,5
2024-06-21,5
2024-06-20,3
2024-06-18,9
2024-06-17,5
2024-06-15,4
2024-06-14,8
2024-06-13,14
2024-06-12,6
2024-06-11,8
2024-06-07,6
2024-06-06,11
2024-06-01,4
2024-05-30,14
2024-05-29,1
2024-05-28,4
2024-05-27,5
2024-05-25,10
2024-05-24,12
2024-05-23,4
2024-05-22,6
2024-05-21,1
2024-05-17,11
2024-05-16,2
2024-05-14,7
2024-05-13,3
2024-05-10,2
2024-05-09,5
2024-05-08,3
2024-05-06,7
2024-05-04,6
2024-05-03,1
