prod_family,forecast_month,avg_doh
Dihydroergotamine Spray,2024-11-01 00:00:00,1.00
Loratadine ODT (OTC),2024-11-01 00:00:00,0.50
Triamterene HCTZ,2024-11-01 00:00:00,23.25
Baclofen,2024-11-01 00:00:00,8.33
Potassium Chloride PFOS,2024-11-01 00:00:00,10.33
Tramadol,2024-11-01 00:00:00,62.83
Cevimeline HCL,2024-11-01 00:00:00,39.00
Nortriptyline HCL Oral Solution,2024-11-01 00:00:00,15.00
Diclofenac Sodium Tab,2024-11-01 00:00:00,223.67
Midodrine,2024-11-01 00:00:00,10.67
Tizanidine HCl,2024-11-01 00:00:00,2.33
Pregabalin tab ER,2024-11-01 00:00:00,12.00
Oxybutynin Chloride ER,2024-11-01 00:00:00,6.33
Mycophenolae Sodium DR Tab,2024-11-01 00:00:00,26.50
Clonazepam Tab,2024-11-01 00:00:00,16.50
Haloperidol Oral Solution,2024-11-01 00:00:00,25.50
Rabeprazole Sodium,2024-11-01 00:00:00,11.50
Mycophenolate Mofetil Tab,2024-11-01 00:00:00,38.50
Cyclobenzaprine HCl,2024-11-01 00:00:00,14.43
Gabapentin Oral Solution,2024-11-01 00:00:00,22.00
Potassium Chloride ER,2024-11-01 00:00:00,2226.50
Diclofenac Potassium,2024-11-01 00:00:00,31.00
Metolazone,2024-11-01 00:00:00,10.33
Mycophenolate Mofetil Cap,2024-11-01 00:00:00,44.50
Carbidopa and Levdopa Tab,2024-11-01 00:00:00,578.38
Buspirone HCl,2024-11-01 00:00:00,16.45
Carvedilol,2024-11-01 00:00:00,11.67
Dicyclomine HCl Tab,2024-11-01 00:00:00,504.50
Fluticasone Nasal Spray,2024-11-01 00:00:00,
Oxcarbazepine Suspension,2024-11-01 00:00:00,48.00
Lithium Oral Solution,2024-11-01 00:00:00,3.00
Guanfacine IR,2024-11-01 00:00:00,61.50
Loperamide Caps,2024-11-01 00:00:00,2.50
Lamotrigine IR,2024-11-01 00:00:00,0.00
Isosorbide DN,2024-11-01 00:00:00,7.43
Labetalol,2024-11-01 00:00:00,12.00
Primidone,2024-11-01 00:00:00,33.75
Aripiprazole Oral Solution,2024-11-01 00:00:00,57.00
Carbidopa and Levdopa ER Tab,2024-11-01 00:00:00,8.50
Metoprolol Tartrate,2024-11-01 00:00:00,20.11
Potassium Chloride Oral Solution,2024-11-01 00:00:00,4.00
Amiodarone HCl,2024-11-01 00:00:00,7.50
Metoprolol Tartrate (Uncoated),2024-11-01 00:00:00,48.14
Lidocaine HCL Oral Solution,2024-11-01 00:00:00,15.00
Ipratropium Bro. Nasal Spray,2024-11-01 00:00:00,0.00
Amantadine HCL,2024-11-01 00:00:00,34.00
Potassium Chloride Klorcon,2024-11-01 00:00:00,14.00
Baclofeb Oral Solution,2024-11-01 00:00:00,95.00
Buprenorphine Sl,2024-11-01 00:00:00,19.50
Glipizide,2024-11-01 00:00:00,75.17
Amitriptyline,2024-11-01 00:00:00,19.22
Desvenlaflaxine,2024-11-01 00:00:00,13.80
Acetazolamide,2024-11-01 00:00:00,14.50
Bumetanide Tabs,2024-11-01 00:00:00,13.00
Acyclovir Suspension,2024-11-01 00:00:00,2.00
Bisoprolol Fumarate,2024-11-01 00:00:00,13.75
Nitroglycerine,2024-11-01 00:00:00,15.67
Sildenafil Citrate,2024-11-01 00:00:00,52.40
Tranexamic Acid Tab,2024-11-01 00:00:00,7.00
Metoprolol Tartrate (Uncoated),2024-12-01 00:00:00,48.14
Amitriptyline,2024-12-01 00:00:00,19.22
Amantadine HCL,2024-12-01 00:00:00,34.00
Aripiprazole Oral Solution,2024-12-01 00:00:00,57.00
Metolazone,2024-12-01 00:00:00,10.33
Loratadine ODT (OTC),2024-12-01 00:00:00,0.50
Ipratropium Bro. Nasal Spray,2024-12-01 00:00:00,2.00
Isosorbide DN,2024-12-01 00:00:00,30.38
Tranexamic Acid Tab,2024-12-01 00:00:00,7.00
Tizanidine HCl,2024-12-01 00:00:00,2.33
Midodrine,2024-12-01 00:00:00,10.67
Tramadol,2024-12-01 00:00:00,62.83
Carbidopa and Levdopa ER Tab,2024-12-01 00:00:00,8.50
Lithium Oral Solution,2024-12-01 00:00:00,3.00
Diclofenac Sodium Tab,2024-12-01 00:00:00,223.67
Lamotrigine IR,2024-12-01 00:00:00,0.00
Acyclovir Suspension,2024-12-01 00:00:00,2.00
Dihydroergotamine Spray,2024-12-01 00:00:00,1.00
Metoprolol Tartrate,2024-12-01 00:00:00,20.11
Guanfacine IR,2024-12-01 00:00:00,61.50
Labetalol,2024-12-01 00:00:00,12.00
Diclofenac Potassium,2024-12-01 00:00:00,31.00
Desvenlaflaxine,2024-12-01 00:00:00,13.80
Oxcarbazepine Suspension,2024-12-01 00:00:00,48.00
Potassium Chloride Oral Solution,2024-12-01 00:00:00,4.00
Buspirone HCl,2024-12-01 00:00:00,16.45
Cyclobenzaprine HCl,2024-12-01 00:00:00,14.43
Mycophenolate Mofetil Cap,2024-12-01 00:00:00,44.50
Pregabalin tab ER,2024-12-01 00:00:00,12.00
Gabapentin Oral Solution,2024-12-01 00:00:00,22.00
Rabeprazole Sodium,2024-12-01 00:00:00,11.50
Potassium Chloride ER,2024-12-01 00:00:00,2226.50
Loperamide Caps,2024-12-01 00:00:00,2.50
Mycophenolae Sodium DR Tab,2024-12-01 00:00:00,26.50
Lidocaine HCL Oral Solution,2024-12-01 00:00:00,15.00
Oxybutynin Chloride ER,2024-12-01 00:00:00,6.33
Dicyclomine HCl Tab,2024-12-01 00:00:00,504.50
Bisoprolol Fumarate,2024-12-01 00:00:00,13.75
Baclofeb Oral Solution,2024-12-01 00:00:00,95.00
Buprenorphine Sl,2024-12-01 00:00:00,19.50
Clonazepam Tab,2024-12-01 00:00:00,16.50
Fluticasone Nasal Spray,2024-12-01 00:00:00,
Carbidopa and Levdopa Tab,2024-12-01 00:00:00,578.38
Glipizide,2024-12-01 00:00:00,75.17
Potassium Chloride PFOS,2024-12-01 00:00:00,10.33
Haloperidol Oral Solution,2024-12-01 00:00:00,25.50
Carvedilol,2024-12-01 00:00:00,11.67
Primidone,2024-12-01 00:00:00,33.75
Triamterene HCTZ,2024-12-01 00:00:00,23.25
Acetazolamide,2024-12-01 00:00:00,14.50
Cevimeline HCL,2024-12-01 00:00:00,39.00
Sildenafil Citrate,2024-12-01 00:00:00,52.40
Potassium Chloride Klorcon,2024-12-01 00:00:00,14.00
Nitroglycerine,2024-12-01 00:00:00,15.67
Baclofen,2024-12-01 00:00:00,12.57
Nortriptyline HCL Oral Solution,2024-12-01 00:00:00,15.00
Bumetanide Tabs,2024-12-01 00:00:00,16.33
Mycophenolate Mofetil Tab,2024-12-01 00:00:00,38.50
Amiodarone HCl,2024-12-01 00:00:00,7.50
Aripiprazole Oral Solution,2025-01-01 00:00:00,57.00
Desvenlaflaxine,2025-01-01 00:00:00,13.80
Amitriptyline,2025-01-01 00:00:00,19.22
Acetazolamide,2025-01-01 00:00:00,14.50
Carbidopa and Levdopa Tab,2025-01-01 00:00:00,34.00
Lidocaine HCL Oral Solution,2025-01-01 00:00:00,15.00
Baclofen,2025-01-01 00:00:00,12.57
Gabapentin Oral Solution,2025-01-01 00:00:00,22.00
Tranexamic Acid Tab,2025-01-01 00:00:00,7.00
Metoprolol Tartrate,2025-01-01 00:00:00,20.11
Lithium Oral Solution,2025-01-01 00:00:00,3.00
Potassium Chloride ER,2025-01-01 00:00:00,30.25
