prod_family,total_inventory
Fluticasone Nasal Spray,
Buspirone HCl,2784096.0
Metoprolol Tartrate (Uncoated),2654880.0
Lidocaine HCL Oral Solution,2597160.0
Clonazepam Tab,2504736.0
Desvenlaflaxine,2325312.0
Tramadol,2109512.0
Carvedilol,2034240.0
Buprenorphine Sl,1686912.0
Potassium Chloride ER,1631280.0
Baclofen,1611264.0
Mycophenolate Mofetil Cap,1237536.0
Glipizide,1221312.0
Diclofenac Sodium Tab,1152912.0
Dicyclomine HCl Tab,1082016.0
Cyclobenzaprine HCl,804576.0
Metoprolol Tartrate,746780.0
Diclofenac Potassium,660984.0
Mycophenolate Mofetil Tab,608800.0
Nitroglycerine,576904.0
Midodrine,534144.0
Triamterene HCTZ,531360.0
Primidone,488064.0
Guanfacine IR,437184.0
Amiodarone HCl,406472.0
Carbidopa and Levdopa Tab,397716.0
Isosorbide DN,388140.0
Bisoprolol Fumarate,386784.0
Labetalol,317968.0
Amitriptyline,315936.0
Mycophenolae Sodium DR Tab,297216.0
Tranexamic Acid Tab,244416.0
Sildenafil Citrate,242112.0
Amantadine HCL,240584.0
Potassium Chloride Oral Solution,209040.0
Dorzolamide Opthal Sol,203040.0
Acetazolamide,195104.0
Ivermectin Tab,189684.0
Oxybutynin Chloride ER,186240.0
Gabapentin Oral Solution,185472.0
Oxcarbazepine Suspension,184896.0
Aripiprazole Oral Solution,173592.0
Haloperidol Oral Solution,158112.0
Potassium Chloride PFOS,154824.0
Carbidopa and Levdopa ER Tab,151104.0
Rabeprazole Sodium,91776.0
Cevimeline HCL,70464.0
Baclofeb Oral Solution,67296.0
Ipratropium Bro. Nasal Spray,62130.0
Bumetanide Tabs,59904.0
Loperamide Caps,49824.0
Pregabalin tab ER,29568.0
Acyclovir Suspension,27120.0
Metolazone,26880.0
Lamotrigine IR,25596.0
Nortriptyline HCL Oral Solution,15480.0
Tizanidine HCl,12880.0
Potassium Chloride Klorcon,11328.0
Lithium Oral Solution,8648.0
Dihydroergotamine Spray,7920.0
Loratadine ODT (OTC),1152.0
Venlafaxin HCl ER Cap,0.0
Gabapentin Tab,0.0
