material,prod_desc,demand_3m,shipped_3m
40039,Rabeprazole Sod DR Tab 20mg 30,5468,0
40039,Rabeprazole Sod DR Tab 20mg 30,3028,0
40039,Rabeprazole Sod DR Tab 20mg 30,3020,0
40039,Rabeprazole Sod DR Tab 20mg 30,6040,0
40040,Rabeprazole Sod DR Tab 20mg 90,9621,0
40040,Rabeprazole Sod DR Tab 20mg 90,8593,0
40040,Rabeprazole Sod DR Tab 20mg 90,17215,0
40139,Amantadine HCl Cap USP 100mg 30,3372,0
40139,Amantadine HCl Cap USP 100mg 30,1672,0
40139,Amantadine HCl Cap USP 100mg 30,3342,0
40140,Amantadine HCl Cap USP 100mg 100,70522,0
40140,Amantadine HCl Cap USP 100mg 100,21215,0
40140,Amantadine HCl Cap USP 100mg 100,47971,0
40142,Pregabalin ER tab 82.5mg 30,45717,0
40142,Pregabalin ER tab 82.5mg 30,90898,0
40142,Pregabalin ER tab 82.5mg 30,92,0
40142,Pregabalin ER tab 82.5mg 30,268,0
40142,Pregabalin ER tab 82.5mg 30,444,0
40142,Pregabalin ER tab 82.5mg 30,528,0
40142,Pregabalin ER tab 82.5mg 30,531,0
40142,Pregabalin ER tab 82.5mg 30,534,0
40143,Pregabalin ER tab 165mg 30,8066,0
40143,Pregabalin ER tab 165mg 30,193,0
40143,Pregabalin ER tab 165mg 30,441,0
40144,Pregabalin ER tab 330mg 30,5408,0
40144,Pregabalin ER tab 330mg 30,9696,0
40144,Pregabalin ER tab 330mg 30,331,0
40144,Pregabalin ER tab 330mg 30,709,0
40145,Oxybutynin Cl ER Tab USP 5mg 100,18345,0
40145,Oxybutynin Cl ER Tab USP 5mg 100,18136,0
40145,Oxybutynin Cl ER Tab USP 5mg 100,36124,0
40146,Oxybutynin Cl ER Tab USP 10mg 100,34154,0
40146,Oxybutynin Cl ER Tab USP 10mg 100,26002,0
40146,Oxybutynin Cl ER Tab USP 10mg 100,51610,0
40147,Oxybutynin Cl ER Tab USP 15mg 100,24538,0
40147,Oxybutynin Cl ER Tab USP 15mg 100,9434,0
