component,component_name,stock_difference
10032,Tramadol HCl USP,10173.60763636363
10054,Labetalol HCl USP,10013.075899989359
10062,Diclofenac Sod USP,9924.480500000001
10710,Carvedilol USP,6360.512750000002
10709,Amiodarone HCl USP,5870.189230769231
10888,Diluted Nitroglycerin USP,2241.995179468342
10072,Potassium Chl USP/FCC (20-60# CR),1828.20857142857
10714,Clonazepam USP,1478.53121176165
10804,Glipizide USP,1335.082
10033,Cyclobenzaprine HCl USP,874.85025
10060,Pregabalin USP,221.327142857142
10061,Oxybutynin Chl USP,180.56946666666602
10687,Buprenorphine HCl USP,174.812745882352
10824,Cevimeline HCl USP,128.102545454375
10075,Bumetanide USP,98.40190224866326
10068,Midodrine HCl USP,77.1345
10623,Loratadine USP,29.055411361363696
10073,Metolazone USP,29.048889178587807
10819,Loperamide HCl USP,20.522666666499905
10106,Ferric Oxide NF,-0.09480533333340091
10633,501500 TP0504 Peppermint Flavor,-0.49110361411361936
10120,Aspartame NF,-0.6314189324318988
10708,FD & C Red 40 Al Lake,-0.6992938015367098
10758,Sodium Citrate USP-NF,-1.1871741176470998
10117,Sodium Stearyl Fumarate NF,-1.4031531831818072
10480,Crospovidone NF,-2.3125
10124,Anhydrous Citric Acid USP-NF,-2.623508235294196
10420,Triacetin USP-NF,-2.6764787682540003
10449,Carbomer Homopolymer NF,-3.064285714286001
10963,Calcium Stearate NF,-3.6436136034281787
10695,FD & C Blue No. 1 Al Lake,-3.6861506791405994
10286,Sodium Lauryl Sulphate NF,-3.7629500000000036
10395,Colloidal Silicon Dioxide NF,-3.762950000000018
10395,USP-1445470 Mometasone Furoate RS,-3.762950000000018
10402,CHM-Conductivity Std 1.3μs/cm,-5.5493521600000015
10402,ART Cinnamon FL PWD#35187,-5.5493521600000015
10632,Crospovidone NF,-7.015765915910038
10189,Crospovidone NF,-7.681800000000067
10788,Neelicert FD&C Yellow 6 AL Lake (38-45%),-8.569499999999998
10126,Povidone 18-21%&Polyvinylacetate 75-85%,-9.192857142858031
10119,Hydrogenated Vegetable Oil NF,-9.480533333334023
10101,Glyceryl Dibehenate NF,-9.642
10876,Corn Starch USP-NF,-10.464720000000057
10450,Polyethylene Oxide NF,-11.235714285715005
10789,Neelicert FD&C Blue 2 AL Lake (12-18%),-12.431402176298064
10108,Low Substituted HPC NF,-14.353634265246228
10306,Silicified MCC NF,-15.493750000000546
10341,Ethylcellulose NF,-21.414348000000004
10369,IMP-Aminoethyl fluvoxamine,-22.12442649319007
10369,HPMC USP-NF,-22.12442649319007
10140,Mannitol USP-NF/EP,-26.16179999999997
10412,Timing Pulley 70x70 SS304,-27.493546666666987
10412,HPMC USP-NF,-27.493546666666987
10371,IMP-Desmethoxy Fluoxamine,-32.220977231746986
10371,Microcrystalline Cellulose NF,-32.220977231746986
10376,HPMC USP-NF,-32.84544036711084
10376,IMP-Fluvoxamine Z-Isomer,-32.84544036711084
10428,Ethylcellulose NF,-41.82545454800001
10634,Mannitol USP-NF,-46.87867968192006
10362,Potassium Bicarbonate USP,-52.39405751999999
10400,COL-DAIC30713 Daicel,-53.20330703999991
10400,N&A cherry FL PWD 34964,-53.20330703999991
10368,IMP-Succinyl fluvoxamine,-78.68842666667001
10368,HPMC USP-NF,-78.68842666667001
10261,Povidone USP-NF,-81.96558756097829
10635,Neelicert FD & C Yellow 6,-84.41089942344651
10626,D & C Yellow 10 AL Lake,-87.53079040000009
10456,Triethyl Citrate NF,-93.65114320898402
10366,Anhydrous Citric Acid USP-NF,-101.28
10396,Maintence kit for HP LJ MFP M630 Printer,-102.61745031146893
10396,Stearic Acid NF,-102.61745031146893
10041,Metoprolol Tar USP,-104.54857645722223
10363,Acesulfame Potassium NF,-113.32965000000002
10357,ESS. FL N&A Peppermint FLSD#517 IH,-114.65999999999997
10271,Microcrystalline Cellulose NF,-138.70202926829398
10485,Sucralose NF,-173.65998999999994
10231,Talc USP-NF/EP PSD 75Âµm,-342.8349869805529
10349,Sodium Carbonate NF,-346.2108837600008
10843,Microcrystalline Cellulose NF,-370.63443082712
10944,Talc USP-NF,-394.61583898967183
10353,Sodium Alginate NF,-755.315400000003
