component,component_name,excess_stock
10074,Potassium Chl USP (40-200# CS),39436.24624590164
10074,Potassium Chl USP (40-200# CS),38026.59836151554
10074,Potassium Chl USP (40-200# CS),37345.83856457565
10074,Potassium Chl USP (40-200# CS),35398.09447213325
10074,Potassium Chl USP (40-200# CS),25307.5437162076
10074,Potassium Chl USP (40-200# CS),23092.5839520296
10477,Microcrystalline Cellulose NF,19752.213531498503
10477,Microcrystalline Cellulose NF,19750.670062997
10477,Microcrystalline Cellulose NF,19750.66742424161
10477,Microcrystalline Cellulose NF,19749.55937378865
