blending_code,total_dispense
30316,101185.428
30322,101185.42800000001
30748,384531.8340000002
30307,2514.614
30159,22226.982
30097,2922.4250000000006
30010,12632.571
30350,85475.59
30411,8115.194
30403,1518.676
30107,2922.425
30061,1997.6549999999997
30121,38045.212
30455,30657.23
30527,83366.12799999998
30319,101185.428
30327,113445.53399999999
30665,80830.16900000001
30141,7055.861
30085,2922.425
30503,56722.767
30294,101846.20799999998
30521,9246.693999999998
30303,50738.794
30379,10986.254
30471,88554.612
30625,20724.341000000004
30223,43613.655000000006
30436,151515.276
30330,56722.76699999999
30001,27081.514000000003
30295,45801.57000000001
30147,7055.861000000001
30554,46271.458999999995
30348,42737.795000000006
30415,38045.212
30162,10457.866000000002
30005,81244.54200000002
30671,33625.842000000004
30668,80830.16900000001
30302,25369.397
30346,85475.59
30087,2922.425
30552,46280.508
30458,20773.13
30525,41683.064
30313,67456.952
30193,66799.916
30433,113634.624
30225,43613.655
30406,1518.6760000000002
30099,2922.425
30309,2514.614
30216,143787.976
30550,46282.706999999995
30538,4712.532
30003,54163.028
30229,102630.438
30241,71893.988
30578,67773.021
