carrier,otif_loss_rate
FED EX,1.00000000000000000000
AMERICAN EXPEDITING LOGISTICS,1.00000000000000000000
PANTHER EXP. SERVICE,1.00000000000000000000
OLD DOMINION FREIGHT LINES,1.00000000000000000000
,0.99762993762993762994
EX,0.50000000000000000000
FEDEX,0.50000000000000000000
DCLK,0.25242718446601941748
FXCC,0.25135037810586964350
MAFL,0.20297029702970297030
FDE,0.19325332053128500560
SAIA,0.19217160548429898275
ODFL,0.15105966367196498503
AVERITT,0.13333333333333333333
FXFE,0.12507471607890017932
AVRT,0.10220763123513450136
PTWT,0.07400130975769482646
AXCC,0.06006191950464396285
SNKF,0.05365853658536585366
BYLE,0.04406364749082007344
HIRS,0.00952380952380952381
