product_description,total_batch
Potassium Chloride Extended Release Tablets USP 20mEq K TAB,202853.0
Buspirone Hydrochloride Tablets USP 5 mg,50876.0
Amantadine Hydrochloride Capsules USP 100 mg,50872.0
Carvedilol Tablets USP 6.25 mg,50866.0
Nicotine Polacrilex Mini Lozenge 4 mg (Cherry),50861.0
Labetalol Hydrochloride Tablets USP- 300 mg,50857.0
Common Blend of Metoprolol Tartrate Tablets USP 25mg 50mg & 100mg,50826.0
Tramadol Hydrochloride Tablets USP 50 mg,50799.0
Guanfacine Extended Release Tablets USP 2 mg,50734.0
Buspirone Hydrochloride Tablets USP 30 mg,50694.0
Metoprolol Tartrate Tablets USP 100 mg,50666.0
Buprenorphine Sublingual Tablets 2 mg,50531.0
