fg_code,components_count
40827,13
40822,13
40823,13
40824,13
40825,13
40145,11
40224,10
40225,10
40797,9
40796,9
40898,9
40896,9
40492,9
40893,9
40892,9
40730,9
40897,9
40140,9
40891,9
41191,8
41188,8
41069,8
40155,8
40156,8
41065,8
40157,8
40500,8
41194,8
41193,8
40593,7
40213,7
40452,7
40453,7
40605,7
40214,7
40607,7
40609,7
40212,7
40828,7
40716,7
40695,7
40045,7
40304,7
40694,7
40149,7
40047,7
40674,6
40018,6
40019,6
40144,6
40151,6
40292,6
40293,6
40307,6
40309,6
40310,6
40311,6
40312,6
40497,6
40525,6
40565,6
40601,6
40671,6
40672,6
40016,6
40678,6
40686,6
40702,6
40729,6
40865,6
40866,6
41177,6
40667,5
40665,5
40664,5
40218,5
41156,5
40217,5
40692,5
40669,5
40666,5
40622,5
40832,5
40621,5
40620,5
40619,5
40618,5
40617,5
40616,5
40970,5
40475,5
40650,4
40649,4
40864,4
40162,3
40161,3
40163,3
