material,prod_desc,prod_family,inventory_month,forecast_month,monthend_invent,forecasted_demand,inventory_status
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2025-05,2025-06,324645.0,301898.333333333,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2025-04,2025-05,324645.0,301898.333333333,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2025-03,2025-04,324645.0,290641.5,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2024-12,2025-01,324645.0,283508.533333333,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2025-02,2025-03,324645.0,268233.2,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2025-01,2025-02,324645.0,268233.2,Sufficient
40842,Lidocaine Oral Topi Soln USP 2% 100ml,Lidocaine HCL Oral Solution,2024-11,2024-12,324645.0,127751.631311519,Sufficient
40692,Desvenlafaxine ER Tab 50 mg 30,Desvenlaflaxine,2025-01,2025-02,128448.0,113698.911111111,Sufficient
40692,Desvenlafaxine ER Tab 50 mg 30,Desvenlaflaxine,2025-02,2025-03,128448.0,113698.911111111,Sufficient
40692,Desvenlafaxine ER Tab 50 mg 30,Desvenlaflaxine,2025-03,2025-04,128448.0,113578.0,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2024-11,2024-12,153420.0,100070.146666666,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2025-01,2025-02,117480.0,99894.0,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2024-12,2025-01,117480.0,98462.0,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2025-04,2025-05,159528.0,86219.1666666666,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2025-05,2025-06,159528.0,86219.1666666666,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2025-03,2025-04,159528.0,86219.1666666666,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2025-05,2025-06,94200.0,85159.156862745,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2025-04,2025-05,94200.0,82809.1568627451,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2025-03,2025-04,94200.0,78020.8235294117,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2025-01,2025-02,94200.0,77908.6901960784,Sufficient
40669,Desvenlafaxin ER Tab 100 mg 30,Desvenlaflaxine,2025-02,2025-03,94200.0,77884.0235294117,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2025-02,2025-03,159528.0,69942.6666666666,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2025-01,2025-02,159528.0,68642.6666666666,Sufficient
40830,Buprenorphine Sl Tab 8 Mg 30,Buprenorphine Sl,2024-12,2025-01,159528.0,66327.0,Sufficient
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-03,2025-04,69900.0,65102.3,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2025-02,2025-03,153420.0,64926.168,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2024-12,2025-01,153420.0,64926.168,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2025-01,2025-02,153420.0,64926.168,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2025-05,2025-06,153420.0,60148.168,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2025-03,2025-04,153420.0,59308.168,Sufficient
40700,Tramadol HCl Tab USP 50mg 100,Tramadol,2025-04,2025-05,153420.0,59308.168,Sufficient
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-02,2025-03,69900.0,57291.1333333333,Sufficient
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2024-12,2025-01,69900.0,57291.1333333333,Sufficient
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,Metoprolol Tartrate (Uncoated),2025-01,2025-02,69900.0,57291.1333333333,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2025-02,2025-03,137784.0,56503.3680787811,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2025-05,2025-06,137784.0,56503.3680787811,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2025-04,2025-05,137784.0,56503.3680787811,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2025-01,2025-02,137784.0,56503.3680787811,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2024-12,2025-01,137784.0,56503.3680787811,Sufficient
40937,"Mycophenolate Mof Cap USP 250mg, 100",Mycophenolate Mofetil Cap,2025-03,2025-04,137784.0,56503.3680787811,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2025-05,2025-06,117480.0,54226.0,Sufficient
40710,Clonazepam Tab USP 0.5mg 100,Clonazepam Tab,2025-04,2025-05,117480.0,54226.0,Sufficient
41064,Metoprolol Tar Tab USP 25mg 100 UnTS,Metoprolol Tartrate (Uncoated),2025-03,2025-04,57120.0,53051.3333333333,Sufficient
