material,prod_desc,week_start,weekly_demand
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2024-10-28 00:00:00,128565.431311519
40700,Tramadol HCl Tab USP 50mg 100,2024-10-28 00:00:00,97203.1466666666
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2024-10-28 00:00:00,23615.2317923763
40692,Desvenlafaxine ER Tab 50 mg 30,2024-10-28 00:00:00,21010.956862745
40592,Baclofen Tab USP 10mg 100,2024-10-28 00:00:00,19278.5
40830,Buprenorphine Sl Tab 8 Mg 30,2024-10-28 00:00:00,16964.6333333333
40309,Buspirone HCl Tab USP 10mg 100,2024-10-28 00:00:00,9870.0
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2024-10-28 00:00:00,7484.26724470134
40312,Buspirone HCl Tab USP 15mg 100,2024-10-28 00:00:00,404.0
40307,Buspirone HCl Tab USP 5mg 100,2024-10-28 00:00:00,288.0
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2024-11-25 00:00:00,127751.631311519
40700,Tramadol HCl Tab USP 50mg 100,2024-11-25 00:00:00,100070.146666666
40830,Buprenorphine Sl Tab 8 Mg 30,2024-11-25 00:00:00,31812.1333333333
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2024-11-25 00:00:00,21691.7317923763
40692,Desvenlafaxine ER Tab 50 mg 30,2024-11-25 00:00:00,17035.656862745
40592,Baclofen Tab USP 10mg 100,2024-11-25 00:00:00,11547.5
40309,Buspirone HCl Tab USP 10mg 100,2024-11-25 00:00:00,9870.0
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2024-11-25 00:00:00,2561.3
40307,Buspirone HCl Tab USP 5mg 100,2024-11-25 00:00:00,432.0
40312,Buspirone HCl Tab USP 15mg 100,2024-11-25 00:00:00,274.0
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2024-12-30 00:00:00,283508.533333333
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2024-12-30 00:00:00,191201.786462527
40309,Buspirone HCl Tab USP 10mg 100,2024-12-30 00:00:00,143966.0
40592,Baclofen Tab USP 10mg 100,2024-12-30 00:00:00,115956.0
40312,Buspirone HCl Tab USP 15mg 100,2024-12-30 00:00:00,106802.333333333
40307,Buspirone HCl Tab USP 5mg 100,2024-12-30 00:00:00,105699.272727272
40830,Buprenorphine Sl Tab 8 Mg 30,2024-12-30 00:00:00,66327.0
40700,Tramadol HCl Tab USP 50mg 100,2024-12-30 00:00:00,64926.168
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2024-12-30 00:00:00,57291.1333333333
40692,Desvenlafaxine ER Tab 50 mg 30,2024-12-30 00:00:00,16361.4111111111
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2025-01-27 00:00:00,268233.2
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2025-01-27 00:00:00,192089.786462527
40309,Buspirone HCl Tab USP 10mg 100,2025-01-27 00:00:00,143966.0
40592,Baclofen Tab USP 10mg 100,2025-01-27 00:00:00,115943.5
40692,Desvenlafaxine ER Tab 50 mg 30,2025-01-27 00:00:00,113698.911111111
40312,Buspirone HCl Tab USP 15mg 100,2025-01-27 00:00:00,106802.333333333
40307,Buspirone HCl Tab USP 5mg 100,2025-01-27 00:00:00,105699.272727272
40830,Buprenorphine Sl Tab 8 Mg 30,2025-01-27 00:00:00,68642.6666666666
40700,Tramadol HCl Tab USP 50mg 100,2025-01-27 00:00:00,64926.168
41065,Metoprolol Tar Tab USP 25mg 1000 UnTS,2025-01-27 00:00:00,57291.1333333333
40842,Lidocaine Oral Topi Soln USP 2% 100ml,2025-02-24 00:00:00,268233.2
40304,Potassium Chl ER Tab USP 20mEq 100 AB3,2025-02-24 00:00:00,192089.786462527
40309,Buspirone HCl Tab USP 10mg 100,2025-02-24 00:00:00,143966.0
40592,Baclofen Tab USP 10mg 100,2025-02-24 00:00:00,115943.5
40692,Desvenlafaxine ER Tab 50 mg 30,2025-02-24 00:00:00,113698.911111111
40307,Buspirone HCl Tab USP 5mg 100,2025-02-24 00:00:00,105699.272727272
40312,Buspirone HCl Tab USP 15mg 100,2025-02-24 00:00:00,96802.3333333333
