component,component_name,priority,total_dispensed,total_demand,dispense_gap
10350,Povidone USP-NF,2,84.0,2293.2,2209.2
10038,Nicotine Polacrilex USP (Nicotine 20%),2,107.58,2293.2,2185.62
10362,Potassium Bicarbonate USP,2,7.804,1146.6,1138.7959999999998
10363,Acesulfame Potassium NF,2,23.8,1146.6,1122.8
10353,Sodium Alginate NF,2,35.0,1146.6,1111.6
10355,Xanthan Gum NF,2,37.625,1146.6,1108.975
10485,Sucralose NF,2,41.9,1146.6,1104.6999999999998
10349,Sodium Carbonate NF,2,55.3,1146.6,1091.3
10354,HPC NF,2,72.489,1146.6,1074.1109999999999
10077,Colloidal Silicon Dioxide NF,2,265.404,1146.6,881.1959999999999
