component,component_name,fg_code,required_qty,stock,shortage_qty,status,mat_category
10074,Potassium Chl USP (40-200# CS),40304,16628.7970479704,64.6611979311565,16564.135850039245,Pending,API
10074,Potassium Chl USP (40-200# CS),40218,14413.8372837924,0.0,14413.8372837924,Pending,API
10712,Levodopa USP,40898,7508.391,0.0,7508.391,Pending,API
10712,Levodopa USP,40897,6256.99249999999,0.0,6256.99249999999,Pending,API
10074,Potassium Chl USP (40-200# CS),40217,4323.28652786675,0.0,4323.28652786675,Pending,API
10712,Levodopa USP,40492,2502.797,0.0,2502.797,Pending,API
10074,Potassium Chl USP (40-200# CS),40452,2375.54243542435,0.0,2375.54243542435,Pending,API
10711,Carbidopa USP,40898,1877.09775,0.0,1877.09775,Pending,API
10074,Potassium Chl USP (40-200# CS),40453,1694.78263848446,0.0,1694.78263848446,Pending,API
10711,Carbidopa USP,40897,1564.24812499999,0.0,1564.24812499999,Pending,API
10052,Amantadine HCl USP,40140,844.958677727272,78.2563222727272,766.7023554545448,Pending,API
10711,Carbidopa USP,40492,625.69925,0.0,625.69925,Pending,API
10880,Desvenlafaxine Suc USP Monohydrate,40669,1075.6483902439,714.916552918221,360.73183732567895,Pending,API
10712,Levodopa USP,40893,214.788888888888,0.0,214.788888888888,Pending,API
10052,Amantadine HCl USP,40730,211.239669454545,0.0,211.239669454545,Pending,API
10035,Baclofen USP,40729,118.714285714285,0.0,118.714285714285,Pending,API
10713,Buspirone HCl USP,40309,140.0,35.163,104.837,Pending,API
10713,Buspirone HCl USP,40312,75.0,0.0,75.0,Pending,API
10038,Nicotine Polacrilex USP (Nicotine 20%),40827,67.6544,0.0,67.6544,Pending,API
10038,Nicotine Polacrilex USP (Nicotine 20%),40825,64.8544,0.0,64.8544,Pending,API
10035,Baclofen USP,40565,44.5178571428571,0.0,44.5178571428571,Pending,API
10713,Buspirone HCl USP,40307,32.0,0.0,32.0,Pending,API
10711,Carbidopa USP,40893,23.1972,0.0,23.1972,Pending,API
10713,Buspirone HCl USP,40310,28.0,7.16300000000001,20.83699999999999,Pending,API
10038,Nicotine Polacrilex USP (Nicotine 20%),40823,76.44,55.9048,20.535199999999996,Pending,API
10035,Baclofen USP,40601,15.1071428571428,0.0,15.1071428571428,Pending,API
10713,Buspirone HCl USP,40311,15.0,0.0,15.0,Pending,API
10880,Desvenlafaxine Suc USP Monohydrate,40970,358.549463414634,356.367089503586,2.182373911047989,Pending,API
10420,Triacetin USP-NF,40500,2.67647876825396,2.676,0.0004787682539597604,Dispensed,RM
10824,Cevimeline HCl USP,40864,9.020454545625,9.02,0.00045454562500069073,Dispensed,RM
10843,Microcrystalline Cellulose NF,40692,370.634430827116,370.634,0.00043082711596298395,Dispensed,RM
10072,Potassium Chl USP/FCC (20-60# CR),40500,113.303428571428,113.303,0.0004285714280030106,Dispensed,RM
10368,HPMC USP-NF,40145,78.6884266666666,78.688,0.0004266666665984076,Dispensed,RM
10368,IMP-Succinyl fluvoxamine,40145,78.6884266666666,78.688,0.0004266666665984076,Dispensed,RM
10402,CHM-Conductivity Std 1.3μs/cm,40827,5.54935216,5.549,0.00035215999999937964,Pending,RM
10402,ART Cinnamon FL PWD#35187,40827,5.54935216,5.549,0.00035215999999937964,Pending,RM
10341,Ethylcellulose NF,40500,21.414348,21.414,0.00034799999999890474,Dispensed,RM
10449,Carbomer Homopolymer NF,40144,3.06428571428571,3.064,0.0002857142857100037,Dispensed,RM
10687,Buprenorphine HCl USP,40828,4.42625411764705,4.426,0.0002541176470494122,Dispensed,RM
10758,Sodium Citrate USP-NF,40828,1.18717411764705,1.187,0.00017411764704999833,Dispensed,RM
10695,FD & C Blue No. 1 Al Lake,40797,3.68615067914055,3.686,0.000150679140550114,Dispensed,RM
