ship_to_region,total_orders,otif_losses,otif_loss_percentage
Nevada,278,141,50.72
Rhode Island,756,349,46.16
Maine,465,159,34.19
South Dakota,88,29,32.95
Kentucky,1913,486,25.41
Vermont,1087,262,24.10
Puerto Rico,2490,580,23.29
Indiana,6262,1377,21.99
Louisiana,4487,977,21.77
Florida,11575,2459,21.24
New Jersey,7492,1584,21.14
North Carolina,7668,1541,20.10
Ohio,21546,4306,19.99
Wisconsin,2731,538,19.70
Pennsylvania,5965,1163,19.50
California,19711,3824,19.40
West Virginia,2789,519,18.61
New York,17659,3265,18.49
North Dakota,1483,274,18.48
Washington,7447,1368,18.37
Arizona,9312,1707,18.33
Missouri,12961,2315,17.86
Mississippi,4930,865,17.55
Minnesota,2552,443,17.36
Maryland,2145,368,17.16
Tennessee,10503,1775,16.90
Utah,4964,757,15.25
Texas,13483,2035,15.09
South Carolina,1363,202,14.82
Virginia,6221,919,14.77
Alabama,3919,554,14.14
Arkansas,2118,298,14.07
Massachusetts,6111,858,14.04
Michigan,6670,925,13.87
Colorado,5314,731,13.76
Illinois,9634,1276,13.24
Oregon,2233,284,12.72
Georgia,8014,935,11.67
Oklahoma,4478,503,11.23
Iowa,6403,695,10.85
Hawaii,1519,153,10.07
Alaska,497,42,8.45
