player_name,score_value,category
Maurice Morning,165,Games Played
William Glenn,,Runs
Victor,,Runs
Doyle Lafayette,,Runs
Lloyd Cecil,,Runs
Lloyd Cecil,,Runs
David George,,Runs
Edward Norman,,Runs
Stephen David,,Runs
Freddy Ray,,Runs
Jerry Houston,,Runs
Rik Aalbert,,Runs
Bobby Donald,,Runs
Richard Allen,,Runs
Richard Allen,,Runs
Jackie Gene,,Runs
Thomas Henry,,Runs
Thomas William,,Runs
William Richard,,Runs
David Eugene,,Runs
James William,,Runs
Joseph Howard,,Runs
Alton Ray,,Runs
Joseph Casey,,Runs
Miguel Angel,,Runs
Raymond Leonard,,Runs
John Duffield,,Runs
George Henry,,Runs
Charles Thomas,,Runs
Patrick Edward,,Runs
Steven John,,Runs
Edward Joseph,,Runs
Edward Joseph,,Runs
Danny Wayne,,Runs
Eddie Gene,,Runs
Alan James,,Runs
Kenneth Douglas,,Runs
Woodrow Thompson,,Runs
Richard Frank,,Runs
Richard Frank,,Runs
Marcus Wayne,,Runs
Michael Douglas,,Runs
James Lee,,Runs
David Allan,,Runs
Wayne Allan,,Runs
David Edward,,Runs
Richard Allen,,Runs
Richard Allen,,Runs
William Alfred,,Runs
Andrew Earl,,Runs
Richard Lee,,Runs
Thomas Eugene,,Runs
John Frederick,,Runs
Frederick William,,Runs
Donald Harris,,Runs
Charles,,Runs
Gary Raymond,,Runs
Grant Dwight,,Runs
Michael Warren,,Runs
Michael Warren,,Runs
Jesse Harrison,,Runs
Clair Barth,,Runs
Jerry Michael,,Runs
James Lee,,Runs
Steven William,,Runs
Michael Dennis,,Runs
Michael David,,Runs
Steven Jack,,Runs
Kevin Richard,,Runs
James Louis,,Runs
Lerrin Harris,,Runs
Raymond Richard,,Runs
Richard Otto,,Runs
David Lawrence,,Runs
Paul Aaron,,Runs
Mark Alan,,Runs
Claude Edward,,Runs
Michael Stephen,,Runs
Albert Walter,,Runs
James Robert,,Runs
Samuel Edward,,Runs
James Milton,,Runs
Lynn Everett,,Runs
David Arthur,,Runs
George Francis,,Runs
James Joseph,,Runs
Robert Lane,,Runs
Stephen Bernard,,Runs
Stephen Bernard,,Runs
Aurelio Faustino,,Runs
Rogelio,,Runs
Donald Louis,,Runs
Raymond Francis,,Runs
Dennis Joseph,,Runs
David Percy,,Runs
James Alvin,,Runs
William Raymond,,Runs
Michael George,,Runs
Orlando Gregorio,,Runs
Gaylord Jackson,,Runs
James Evan,,Runs
Richard Henry,,Runs
Barry John,,Runs
Robert Allen,,Runs
Kenneth Lee,,Runs
Gary Lawrence,,Runs
Kenneth George,,Runs
Kenneth George,,Runs
Ralph Robert,,Runs
Charles Frederick,,Runs
James Philip,,Runs
Wilfred Charles,,Runs
Wayne Kirby,,Runs
William Robert,,Runs
Craig Richard,,Runs
William Grover,,Runs
Edward Nelson,,Runs
Melvin Leon,,Runs
Michael Wayne,,Runs
James Michael,,Runs
Brent Terry,,Runs
Frank Daryl,,Runs
Kenneth Ray,,Runs
Luis Clemente,,Runs
Richard William,,Runs
Thomas Henry,,Runs
Thomas Henry,,Runs
Robert Andrew,,Runs
Carlos,,Runs
Michael Richard,,Runs
Eddie Dean,,Runs
Terry Wayne,,Runs
Richard Lee,,Runs
Wilbur Forrester,,Runs
Clyde,,Runs
Victor,,Runs
Doyle Lafayette,,Runs
Lloyd Cecil,,Runs
Lloyd Cecil,,Runs
Lawrence Dennis,,Runs
Stephen Ralph,,Runs
Stanley Raymond,,Runs
Francisco Javier,,Runs
Steven Charles,,Runs
Freddy Ray,,Runs
Jerry Houston,,Runs
James Blair,,Runs
Rik Aalbert,,Runs
Richard Allen,,Runs
Peter Sven,,Runs
Jackie Gene,,Runs
Steven Lee,,Runs
Thomas William,,Runs
Thomas William,,Runs
William Franklin,,Runs
William Richard,,Runs
William Radhames,,Runs
Buford Billy,,Runs
Lance Levis,,Runs
Reginald Leslie,,Runs
David Eugene,,Runs
James William,,Runs
Joseph Howard,,Runs
Alton Ray,,Runs
Miguel Angel,,Runs
John Sheldon,,Runs
John Bruce,,Runs
George Henry,,Runs
Charles Thomas,,Runs
Patrick Edward,,Runs
Richard Anthony,,Runs
Steven John,,Runs
Harold Bruce,,Runs
Danny Wayne,,Runs
Eduardo,,Runs
Alan James,,Runs
Woodrow Thompson,,Runs
Marcus Wayne,,Runs
William Freeman,,Runs
William Joseph,,Runs
Richard Michael,,Runs
Wayne Allan,,Runs
Ross Albert,,Runs
Lawrence Cyril,,Runs
William Alfred,,Runs
William Alfred,,Runs
Steven Lowell,,Runs
Andrew Earl,,Runs
Thomas Eugene,,Runs
John Frederick,,Runs
Frederick William,,Runs
Michael Leon,,Runs
James Michael,,Runs
Grant Dwight,,Runs
Jesse Harrison,,Runs
Clair Barth,,Runs
Robert Dale,,Runs
David Charles,,Runs
James Lester,,Runs
Donald Paul,,Runs
Steven Jack,,Runs
Steven Jack,,Runs
Kevin Richard,,Runs
John Andrew Charles,,Runs
Lerrin Harris,,Runs
William Francis,,Runs
David Lawrence,,Runs
Dennis Patrick,,Runs
Claude Edward,,Runs
Michael Stephen,,Runs
Aurelio Alejandro,,Runs
Juan Antonio,,Runs
Felix Anthony,,Runs
Rudolph,,Runs
Rudolph,,Runs
Lyndall Dale,,Runs
Samuel Edward,,Runs
David Arthur,,Runs
James Joseph,,Runs
Roger Wesley,,Runs
Carl William,,Runs
Donald Louis,,Runs
James Edward,,Runs
David Percy,,Runs
James Alvin,,Runs
William Raymond,,Runs
Orlando Gregorio,,Runs
Gaylord Jackson,,Runs
James Evan,,Runs
Stanley,,Runs
Fred Ingles,,Runs
Fred Ingles,,Runs
Horacio,,Runs
Richard Henry,,Runs
Luis Joaquin,,Runs
James Francis,,Runs
