month_year,interest_name,max_index_composition,rolling_avg,prev_month_interest,prev_month_composition,prev_two_month_interest,prev_two_month_composition
01-2019,Work Comes First Travelers,7.657258064516128,7.657258064516128,,,,
02-2019,Work Comes First Travelers,7.6625000000000005,7.6625000000000005,,,,
03-2019,Alabama Trip Planners,6.543046357615895,6.543046357615895,,,,
04-2019,Solar Energy Researchers,6.275862068965518,6.275862068965518,,,,
05-2019,Readers of Honduran Content,4.409090909090909,4.409090909090909,,,,
06-2019,Las Vegas Trip Planners,2.7650602409638556,2.7650602409638556,,,,
07-2019,Las Vegas Trip Planners,2.8175675675675675,2.8175675675675675,,,,
08-2019,Cosmetics and Beauty Shoppers,2.728476821192053,2.728476821192053,,,,
09-2018,Work Comes First Travelers,8.263636363636364,8.263636363636364,,,,
10-2018,Work Comes First Travelers,9.135135135135135,9.135135135135135,,,,
11-2018,Work Comes First Travelers,8.27659574468085,8.27659574468085,,,,
12-2018,Work Comes First Travelers,8.313725490196079,8.313725490196079,,,,
