salesperson_id,year,total_sales,annual_sales_quota,difference
274,2011,86778.7395,504000.0,-417221.2605
274,2012,1814098.0932,10362000.0,-8547901.9068
274,2013,1724354.8952,7294000.0,-5569645.1048
274,2014,178584.3625,1496000.0,-1317415.6375
275,2011,2627471.4954,92625000.0,-89997528.5046
275,2012,13501827.5788,596736000.0,-583234172.4212
275,2013,15941499.598,846300000.0,-830358500.402
275,2014,1057247.3786,53878000.0,-52820752.6214
276,2011,3449145.9759,95818000.0,-92368854.0241
276,2012,15339634.696,583313000.0,-567973365.304
276,2013,16445179.6224,763992000.0,-747546820.3776
276,2014,1271088.5216,66316000.0,-65044911.4784
277,2011,3934881.8754,134697000.0,-130762118.1246
277,2012,17269226.2964,787338000.0,-770068773.7036
277,2013,13587105.0696,781625000.0,-768037894.9304
277,2014,1040093.4071,59661000.0,-58620906.5929
278,2011,1500275.4606,25980000.0,-24479724.5394
278,2012,5134278.5176,116080000.0,-110945721.4824
278,2013,5559347.2404000005,147562000.0,-142002652.7596
278,2014,435948.9551,13650000.0,-13214051.0449
279,2011,4563867.5643,149058000.0,-144494132.4357
279,2012,10697745.4072,421362000.0,-410664254.5928
279,2013,8752331.1252,434865000.0,-426112668.8748
279,2014,787204.4289,37044000.0,-36256795.5711
280,2011,1945456.7586,19756000.0,-17810543.2414
280,2012,4833057.5336,41715000.0,-36881942.4664
280,2013,3853682.322,25384000.0,-21530317.678
280,2014,504932.044,3510000.0,-3005067.9560000002
281,2011,2902791.8697,48906000.0,-46003208.1303
281,2012,9176842.2024,207940000.0,-198763157.7976
281,2013,9549024.2464,273224000.0,-263674975.7536
281,2014,777941.6518999999,26788000.0,-26010058.3481
282,2011,3525022.4259,105000000.0,-101474977.5741
282,2012,7342863.482,156434000.0,-149091136.518
282,2013,7483536.728,221364000.0,-213880463.272
282,2014,1044810.8277,35690000.0,-34645189.1723
283,2011,1799963.8332,24052000.0,-22252036.1668
283,2012,5152274.8944,78246000.0,-73093725.1056
283,2013,5405689.448,109512000.0,-104106310.552
283,2014,490466.319,10478000.0,-9987533.681
284,2012,883279.1922,14448000.0,-13564720.8078
284,2013,5079635.694,135628000.0,-130548364.306
284,2014,600997.1704,16898000.0,-16297002.8296
285,2013,453771.3456,2148000.0,-1694228.6543999999
285,2014,21267.336,104000.0,-82732.664
286,2013,2508165.3708,83556000.0,-81047834.6292
286,2014,585755.8006,18103000.0,-17517244.1994
287,2012,348088.956,987000.0,-638911.044
287,2013,2240367.1372,21286000.0,-19045632.8628
287,2014,56637.747800000005,3000.0,53637.747800000005
288,2013,3736376.3391,142760000.0,-139023623.6609
288,2014,581607.9321,27588000.0,-27006392.0679
289,2012,9042834.1416,454878000.0,-445835165.8584
289,2013,16424256.0584,864790000.0,-848365743.9416
289,2014,1382996.5839,89043000.0,-87660003.4161
290,2012,2988875.724,51198000.0,-48209124.276
290,2013,10584313.636,322420000.0,-311835686.364
290,2014,867518.6141,35412000.0,-34544481.3859
