elapsed_years,legislator_count
6,3
7,93
8,12
9,62
10,3
11,67
12,7
13,85
14,7
15,100
16,10
17,74
18,8
19,64
20,2
21,44
22,3
23,60
24,3
25,53
26,1
27,47
28,5
29,80
30,5
31,89
32,2
33,126
34,4
35,52
36,2
37,47
38,4
39,54
40,2
41,47
42,1
43,88
44,2
45,92
46,2
47,92
48,7
49,79
50,4
51,101
52,5
53,86
54,3
55,62
56,2
57,57
58,3
59,71
60,2
61,99
62,4
63,79
64,7
65,71
66,4
67,100
68,2
69,57
70,3
71,56
72,9
73,95
74,3
75,74
76,2
77,118
78,5
79,120
80,11
81,97
82,6
83,122
84,1
85,96
86,4
87,139
88,5
89,116
90,8
91,119
92,2
93,182
94,6
95,94
96,7
97,93
98,6
99,67
100,3
101,86
102,4
103,138
104,8
105,135
106,1
107,126
108,12
109,106
110,3
111,130
112,4
113,184
114,7
115,153
116,5
117,101
118,4
119,111
120,2
121,99
122,3
123,140
124,4
125,107
126,2
127,130
128,2
129,160
130,1
131,192
132,4
133,163
134,2
135,163
136,5
137,143
139,126
140,3
141,135
143,181
144,1
145,115
146,2
147,144
149,146
150,3
151,199
152,2
153,178
154,2
155,138
156,8
157,137
158,15
159,119
160,8
161,98
162,3
163,124
164,6
165,122
167,125
168,3
169,125
170,2
171,146
172,2
173,157
174,5
175,139
176,2
177,138
178,7
179,130
180,4
181,127
182,3
183,165
184,3
185,105
186,6
187,122
188,4
189,133
190,7
191,110
192,1
193,141
194,2
195,88
196,4
197,98
198,4
199,76
200,4
201,99
202,1
203,95
204,2
205,107
207,92
208,5
209,120
210,7
211,96
212,3
213,113
214,3
215,61
216,2
217,62
218,2
219,59
220,4
221,58
222,2
223,77
224,2
225,57
226,3
227,44
228,7
229,55
230,6
231,49
232,3
233,66
234,3
235,37
236,6
237,89
