actor_id,first_name,last_name,film_id,title,total_revenue,actor_share,avg_actor_share
1,PENELOPE,GUINESS,361,GLEAMING JAWBREAKER,136.70000000000002,17.087500000000002,15.083379629629631
1,PENELOPE,GUINESS,25,ANGELS LIFE,119.78,13.30888888888889,15.083379629629631
1,PENELOPE,GUINESS,506,LADY STAGE,118.83,14.85375,15.083379629629631
2,NICK,WAHLBERG,369,GOODFELLAS SALUTE,209.69,26.21125,30.949027777777776
2,NICK,WAHLBERG,31,APACHE DIVINE,178.69,44.6725,30.949027777777776
2,NICK,WAHLBERG,518,LIAISONS SWEET,131.78,21.963333333333335,30.949027777777776
3,ED,CHASE,971,WHALE BIKINI,134.82,26.964,17.393757575757576
3,ED,CHASE,827,SPICE SORORITY,115.80000000000001,10.52727272727273,17.393757575757576
3,ED,CHASE,336,FRENCH HOLIDAY,102.83,14.69,17.393757575757576
4,JENNIFER,DAVIS,25,ANGELS LIFE,119.78,13.30888888888889,14.744153439153438
4,JENNIFER,DAVIS,691,POSEIDON FOREVER,100.83,16.805,14.744153439153438
4,JENNIFER,DAVIS,398,HANOVER GALAXY,98.83,14.118571428571428,14.744153439153438
5,JOHNNY,LOLLOBRIGIDA,369,GOODFELLAS SALUTE,209.69,26.21125,25.18589814814815
5,JOHNNY,LOLLOBRIGIDA,865,SUNRISE LEAGUE,170.76,34.152,25.18589814814815
5,JOHNNY,LOLLOBRIGIDA,172,CONEHEADS SMOOCHY,136.75,15.194444444444445,25.18589814814815
6,BETTE,NICHOLSON,892,TITANIC BOONDOCK,154.77,12.8975,26.62375
6,BETTE,NICHOLSON,902,TRADING PINOCCHIO,147.75,49.25,26.62375
6,BETTE,NICHOLSON,112,CALENDAR GUNFIGHT,141.79,17.72375,26.62375
7,GRACE,MOSTEL,846,STING PERSONAL,159.79,22.827142857142857,22.195343915343916
7,GRACE,MOSTEL,805,SLEEPLESS MONSOON,121.80000000000001,30.450000000000003,22.195343915343916
7,GRACE,MOSTEL,25,ANGELS LIFE,119.78,13.30888888888889,22.195343915343916
8,MATTHEW,JOHANSSON,771,SCORPION APOLLO,168.77,21.09625,17.906633597883598
8,MATTHEW,JOHANSSON,263,DURHAM PANKY,144.74,16.082222222222224,17.906633597883598
8,MATTHEW,JOHANSSON,255,DRIVING POLISH,115.79,16.541428571428572,17.906633597883598
9,JOE,SWANK,865,SUNRISE LEAGUE,170.76,34.152,24.733
9,JOE,SWANK,964,WATERFRONT DELIVERANCE,121.83,20.305,24.733
9,JOE,SWANK,873,SWEETHEARTS SUSPECTS,98.71000000000001,19.742,24.733
10,CHRISTIAN,GABLE,964,WATERFRONT DELIVERANCE,121.83,20.305,22.16388888888889
10,CHRISTIAN,GABLE,694,PREJUDICE OLEANDER,115.80000000000001,11.580000000000002,22.16388888888889
10,CHRISTIAN,GABLE,251,DRAGONFLY STRANGERS,103.82000000000001,34.60666666666667,22.16388888888889
11,ZERO,CAGE,938,VELVET TERMINATOR,177.74,19.74888888888889,19.53662962962963
11,ZERO,CAGE,854,STRANGERS GRAFFITI,123.83,24.766,19.53662962962963
11,ZERO,CAGE,433,HORN WORKING,112.76,14.095,19.53662962962963
12,KARL,BERRY,838,STAGECOACH ARMAGEDDON,154.74,25.790000000000003,20.636222222222226
12,KARL,BERRY,243,DOORS PRESIDENT,123.81,13.756666666666668,20.636222222222226
12,KARL,BERRY,871,SWEDEN SHINING,111.81,22.362000000000002,20.636222222222226
13,UMA,WOOD,897,TORQUE BOUND,198.72,39.744,41.23022222222222
13,UMA,WOOD,45,ATTRACTION NEWTON,146.76,36.69,41.23022222222222
13,UMA,WOOD,843,STEEL SANTA,141.77,47.25666666666667,41.23022222222222
14,VIVIEN,BERGEN,764,SATURDAY LAMBS,204.72,22.746666666666666,29.724722222222223
14,VIVIEN,BERGEN,284,ENEMY ODDS,180.71,45.1775,29.724722222222223
14,VIVIEN,BERGEN,856,STREETCAR INTENTIONS,148.75,21.25,29.724722222222223
15,CUBA,OLIVIER,31,APACHE DIVINE,178.69,44.6725,36.2575
15,CUBA,OLIVIER,745,ROSES TREASURE,171.72,34.344,36.2575
15,CUBA,OLIVIER,985,WONDERLAND CHRISTMAS,148.78,29.756,36.2575
16,FRED,COSTNER,267,EAGLES PANKY,152.78,25.463333333333335,33.69466666666667
