year,category_name,avg_wholesale_price,max_wholesale_price,min_wholesale_price,wholesale_price_diff,total_wholesale_price,total_selling_price,avg_loss_rate,total_loss,profit
2020,Aquatic Tuberous Vegetables,7.89,29.54,0.76,28.78,3100.02,52632.11,14.84,521.93,49532.09
2020,Cabbage,5.66,10.8,1.6,9.2,2081.23,84182.93,13.16,253.76,82101.7
2020,Capsicum,9.42,45.39,0.4,44.99,16858.16,125532.39,9.85,1632.14,108674.23
2020,Edible Mushroom,6.72,80.0,1.33,78.67,13418.15,138141.9,8.89,1301.71,124723.75
2020,Flower/Leaf Vegetables,4.63,45.77,0.51,45.26,13164.04,234438.6,12.67,1545.35,221274.56
2020,Solanum,4.88,10.89,1.46,9.43,3108.8,34601.35,6.84,214.81,31492.55
2021,Aquatic Tuberous Vegetables,7.77,38.78,1.18,37.6,8368.2,116848.79,15.0,1360.23,108480.59
2021,Cabbage,6.02,14.38,1.31,13.07,4436.48,112078.95,13.37,569.68,107642.47
2021,Capsicum,8.62,51.27,1.67,49.6,34067.81,236386.53,8.98,3092.96,202318.72
2021,Edible Mushroom,6.4,60.0,0.5,59.5,29824.91,206950.35,9.33,2997.84,177125.44
2021,Flower/Leaf Vegetables,4.92,58.6,0.17,58.43,33801.62,364896.96,13.34,4353.88,331095.34
2021,Solanum,5.55,14.45,0.6,13.85,7261.52,63201.07,6.4,468.45,55939.55
2022,Aquatic Tuberous Vegetables,8.29,48.01,0.01,48.0,12043.21,131482.06,12.94,1909.12,119438.85
2022,Cabbage,4.99,12.27,0.01,12.26,3895.81,122287.35,11.83,445.98,118391.54
2022,Capsicum,6.99,112.36,0.01,112.35,34859.95,247008.65,8.84,2952.53,212148.7
2022,Edible Mushroom,5.9,65.99,0.01,65.98,27710.04,168545.96,8.04,2628.32,140835.92
2022,Flower/Leaf Vegetables,3.66,40.45,0.01,40.44,28349.77,308505.47,11.57,3426.7,280155.7
2022,Solanum,6.1,15.82,0.01,15.81,7453.19,58942.91,6.34,475.27,51489.72
2023,Aquatic Tuberous Vegetables,8.24,32.91,0.1,32.81,6501.96,49126.94,13.24,1081.02,42624.98
2023,Cabbage,6.95,10.8,0.1,10.7,2739.81,57202.49,10.24,276.8,54462.68
2023,Capsicum,6.09,27.59,0.01,27.58,12398.71,145205.45,9.14,1135.12,132806.74
2023,Edible Mushroom,5.49,61.27,0.11,61.16,9801.5,105959.58,6.14,794.52,96158.08
2023,Flower/Leaf Vegetables,5.23,141.0,0.01,140.99,15405.66,171228.76,11.44,1758.4,155823.1
2023,Solanum,6.06,10.72,0.01,10.71,3148.86,34378.93,6.06,189.43,31230.07
