player_name
JR Hopes
KC Sangakkara
Yuvraj Singh
A Symonds
JH Kallis
RG Sharma
SC Ganguly
S Vidyut
DJ Hussey
WP Saha
R Dravid
G Gambhir
S Dhawan
MV Boucher
AC Gilchrist
SE Marsh
Y Venugopal Rao
NK Patel
Salman Butt
SR Tendulkar
ST Jayasuriya
PA Patel
JA Morkel
VVS Laxman
JP Duminy
ML Hayden
BJ Hodge
MN van Wyk
DPMD Jayawardene
BB McCullum
SK Raina
HH Gibbs
TM Dilshan
YK Pathan
RS Bopara
AA Jhunjhunwala
MS Bisla
V Sehwag
DA Warner
CH Gayle
S Badrinath
SR Watson
NV Ojha
V Kohli
PD Collingwood
B Chipli
M Vijay
AB de Villiers
MK Tiwary
JD Ryder
MK Pandey
EJG Morgan
AM Rahane
IK Pathan
MS Dhoni
RN ten Doeschate
SS Tiwary
OA Shah
RV Uthappa
CL White
JEC Franklin
AT Rayudu
SPD Smith
MA Agarwal
LRPL Taylor
KD Karthik
MC Juneja
AJ Finch
DJG Sammy
DA Miller
BJ Rohrer
KV Sharma
CA Pujara
DR Smith
SV Samson
KA Pollard
F du Plessis
KP Pietersen
YV Takawale
KK Nair
LMP Simmons
M Vohra
CJ Anderson
GJ Bailey
DJ Bravo
KM Jadhav
GJ Maxwell
CH Morris
Shakib Al Hasan
KL Rahul
HM Amla
N Rana
Q de Kock
