match_id,over_id,bowler,total_runs,average_highest_over_total
335987,15,10,24,19.426056338028168
335988,20,25,25,19.426056338028168
335989,2,32,13,19.426056338028168
335990,18,81,20,19.426056338028168
335991,17,4,20,19.426056338028168
335992,20,32,17,19.426056338028168
335993,13,56,30,19.426056338028168
335994,17,435,21,19.426056338028168
335995,5,60,22,19.426056338028168
335996,12,78,22,19.426056338028168
335997,14,14,26,19.426056338028168
335998,16,84,18,19.426056338028168
335999,7,49,23,19.426056338028168
336000,16,77,15,19.426056338028168
336001,19,94,24,19.426056338028168
336002,9,5,16,19.426056338028168
336003,14,16,19,19.426056338028168
336004,15,99,19,19.426056338028168
336005,8,39,16,19.426056338028168
336006,7,119,19,19.426056338028168
336007,19,111,21,19.426056338028168
336008,20,84,21,19.426056338028168
336009,19,117,22,19.426056338028168
336010,12,38,17,19.426056338028168
336011,10,124,14,19.426056338028168
336012,18,119,21,19.426056338028168
336013,6,80,17,19.426056338028168
336014,14,41,23,19.426056338028168
336015,9,124,15,19.426056338028168
336016,6,131,17,19.426056338028168
336017,11,80,18,19.426056338028168
336018,18,120,19,19.426056338028168
336019,14,83,22,19.426056338028168
336020,19,38,27,19.426056338028168
336021,11,94,21,19.426056338028168
336022,7,91,13,19.426056338028168
336023,14,127,26,19.426056338028168
336024,17,75,25,19.426056338028168
336025,4,61,20,19.426056338028168
336026,3,144,23,19.426056338028168
336027,5,41,22,19.426056338028168
336028,13,39,19,19.426056338028168
336029,2,98,19,19.426056338028168
336030,12,121,16,19.426056338028168
336031,20,89,24,19.426056338028168
336032,12,1,17,19.426056338028168
336033,2,29,24,19.426056338028168
336034,3,94,20,19.426056338028168
336036,17,437,21,19.426056338028168
336037,1,49,19,19.426056338028168
336038,11,151,20,19.426056338028168
336039,20,124,16,19.426056338028168
336040,17,67,18,19.426056338028168
336041,20,32,25,19.426056338028168
336042,18,122,15,19.426056338028168
336043,11,91,21,19.426056338028168
336044,15,67,16,19.426056338028168
336045,13,121,15,19.426056338028168
392186,18,155,22,19.426056338028168
392187,20,126,16,19.426056338028168
392188,2,215,19,19.426056338028168
392189,10,82,17,19.426056338028168
392190,5,9,20,19.426056338028168
392191,5,29,17,19.426056338028168
392193,13,124,20,19.426056338028168
392194,7,439,24,19.426056338028168
392196,16,14,19,19.426056338028168
392197,5,256,19,19.426056338028168
392199,17,9,19,19.426056338028168
392200,15,31,12,19.426056338028168
392201,2,120,20,19.426056338028168
392202,9,174,17,19.426056338028168
392203,13,175,19,19.426056338028168
392204,4,82,15,19.426056338028168
392205,13,154,15,19.426056338028168
392206,13,136,20,19.426056338028168
392207,18,160,24,19.426056338028168
392208,18,63,16,19.426056338028168
392209,18,215,21,19.426056338028168
392210,12,54,17,19.426056338028168
392211,6,116,17,19.426056338028168
392212,4,106,22,19.426056338028168
392213,19,177,18,19.426056338028168
392214,5,109,19,19.426056338028168
392215,19,77,23,19.426056338028168
392216,3,223,21,19.426056338028168
392217,5,50,15,19.426056338028168
392218,15,14,16,19.426056338028168
392219,15,78,24,19.426056338028168
392220,16,133,19,19.426056338028168
392221,9,56,20,19.426056338028168
392222,16,184,20,19.426056338028168
392223,20,194,16,19.426056338028168
392224,5,441,15,19.426056338028168
392225,18,39,17,19.426056338028168
392226,17,12,20,19.426056338028168
392227,5,77,21,19.426056338028168
392228,6,179,24,19.426056338028168
392229,2,81,16,19.426056338028168
392230,14,71,19,19.426056338028168
392231,18,116,15,19.426056338028168
392232,5,109,18,19.426056338028168
392233,19,256,28,19.426056338028168
392234,2,29,18,19.426056338028168
392235,19,126,25,19.426056338028168
392236,6,218,22,19.426056338028168
392237,15,199,14,19.426056338028168
392238,1,104,22,19.426056338028168
392239,4,156,13,19.426056338028168
392240,10,48,16,19.426056338028168
392241,20,61,23,19.426056338028168
392242,6,41,25,19.426056338028168
392243,4,120,15,19.426056338028168
392244,15,14,20,19.426056338028168
419111,17,60,18,19.426056338028168
419112,12,209,26,19.426056338028168
