customer_id,month,closing_balance,monthly_change,cumulative_balance
1,2020-01-01,312,312,312
1,2020-02-01,312,0,312
1,2020-03-01,1912,1600,1912
1,2020-04-01,1912,0,1912
2,2020-01-01,549,549,549
2,2020-02-01,549,0,549
2,2020-03-01,610,61,610
2,2020-04-01,610,0,610
3,2020-01-01,144,144,144
3,2020-02-01,1109,965,1109
3,2020-03-01,1510,401,1510
3,2020-04-01,2003,493,2003
4,2020-01-01,848,848,848
4,2020-02-01,848,0,848
4,2020-03-01,1041,193,1041
4,2020-04-01,1041,0,1041
5,2020-01-01,2606,2606,2606
5,2020-02-01,2606,0,2606
5,2020-03-01,7743,5137,7743
5,2020-04-01,8233,490,8233
6,2020-01-01,2521,2521,2521
6,2020-02-01,3998,1477,3998
6,2020-03-01,9104,5106,9104
6,2020-04-01,9104,0,9104
7,2020-01-01,964,964,964
7,2020-02-01,3327,2363,3327
7,2020-03-01,5413,2086,5413
7,2020-04-01,6553,1140,6553
8,2020-01-01,1719,1719,1719
8,2020-02-01,1899,180,1899
8,2020-03-01,4275,2376,4275
8,2020-04-01,5247,972,5247
9,2020-01-01,849,849,849
9,2020-02-01,1044,195,1044
9,2020-03-01,2866,1822,2866
9,2020-04-01,5494,2628,5494
10,2020-01-01,3770,3770,3770
10,2020-02-01,6138,2368,6138
10,2020-03-01,7549,1411,7549
10,2020-04-01,10500,2951,10500
11,2020-01-01,1864,1864,1864
11,2020-02-01,2589,725,2589
11,2020-03-01,6638,4049,6638
11,2020-04-01,6966,328,6966
12,2020-01-01,312,312,312
12,2020-02-01,312,0,312
12,2020-03-01,1993,1681,1993
12,2020-04-01,1993,0,1993
13,2020-01-01,2282,2282,2282
13,2020-02-01,3693,1411,3693
13,2020-03-01,5095,1402,5095
13,2020-04-01,5095,0,5095
14,2020-01-01,205,205,205
14,2020-02-01,821,616,821
14,2020-03-01,821,0,821
14,2020-04-01,2165,1344,2165
15,2020-01-01,379,379,379
15,2020-02-01,379,0,379
15,2020-03-01,379,0,379
15,2020-04-01,1102,723,1102
16,2020-01-01,3443,3443,3443
16,2020-02-01,6833,3390,6833
16,2020-03-01,8224,1391,8224
16,2020-04-01,9086,862,9086
17,2020-01-01,465,465,465
17,2020-02-01,1822,1357,1822
17,2020-03-01,1822,0,1822
17,2020-04-01,1822,0,1822
18,2020-01-01,757,757,757
18,2020-02-01,1938,1181,1938
18,2020-03-01,3812,1874,3812
18,2020-04-01,3839,27,3839
